"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Place of Death"	"Place of Death Code"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the digestive system"	"K00-K92"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	6	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of the digestive system"	"K90-K92"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Systemic connective tissue disorders"	"M30-M35"	13	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Dorsopathies"	"M40-M54"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Renal tubulo-interstitial diseases"	"N10-N15"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Renal failure"	"N17-N19"	5	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Other disorders of kidney and ureter"	"N25-N28"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Other diseases of urinary system"	"N30-N39"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"	"O10-O16"	5	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Other maternal disorders predominantly related to pregnancy"	"O20-O29"	6	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Maternal care related to the fetus and amniotic cavity and possible delivery problems"	"O30-O48"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Complications of labour and delivery"	"O60-O75"	3	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Complications predominantly related to the puerperium"	"O85-O92"	6	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Other obstetric conditions, not elsewhere classified"	"O95-O99"	19	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the nervous system"	"Q00-Q07"	9	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the circulatory system"	"Q20-Q28"	45	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	17	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	8	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"General symptoms and signs"	"R50-R68"	21	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Ill-defined and unknown causes of mortality"	"R95-R99"	71	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	1230	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	961	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	552	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	1558	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	75	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Legal intervention and operations of war"	"Y35-Y36"	33	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	11	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	16	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	3	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	5	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Obesity and other hyperalimentation"	"E65-E68"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Mental and behavioural disorders"	"F01-F99"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	6	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Episodic and paroxysmal disorders"	"G40-G47"	3	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	5	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Other disorders of the nervous system"	"G90-G98"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	16	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	3	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Systemic connective tissue disorders"	"M30-M35"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the genitourinary system"	"N00-N98"	"Renal failure"	"N17-N19"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Other obstetric conditions, not elsewhere classified"	"O95-O99"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the circulatory system"	"Q20-Q28"	3	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Ill-defined and unknown causes of mortality"	"R95-R99"	14	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	194	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	132	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	74	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	155	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	7	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	8	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Arthropod-borne viral fevers and viral haemorrhagic fevers"	"A90-A99"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	8	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	3	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Helminthiases"	"B65-B83"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	489	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	4	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	30	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	7	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aplastic and other anaemias"	"D60-D64"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	3	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	7	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"	5	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	83	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	7	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Obesity and other hyperalimentation"	"E65-E68"	30	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Metabolic disorders"	"E70-E88"	68	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	56	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Mood [affective] disorders"	"F30-F39"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Neurotic, stress-related and somatoform disorders"	"F40-F48"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Behavioural syndromes associated with physiological disturbances and physical factors"	"F50-F59"	5	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Mental retardation"	"F70-F79"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Disorders of psychological development"	"F80-F89"	9	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Inflammatory diseases of the central nervous system"	"G00-G09"	3	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	13	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Other degenerative diseases of the nervous system"	"G30-G31"	4	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Demyelinating diseases of the central nervous system"	"G35-G37"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Episodic and paroxysmal disorders"	"G40-G47"	98	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Nerve, nerve root and plexus disorders"	"G50-G58"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Diseases of myoneural junction and muscle"	"G70-G72"	61	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	126	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Other disorders of the nervous system"	"G90-G98"	21	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	24	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	34	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	11	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	163	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	18	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	11	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	6	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	26	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	32	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	7	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	9	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	5	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Noninfective enteritis and colitis"	"K50-K52"	3	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	7	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Diseases of peritoneum"	"K65-K66"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Diseases of liver"	"K70-K76"	18	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	10	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of the digestive system"	"K90-K92"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Arthropathies"	"M00-M25"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Systemic connective tissue disorders"	"M30-M35"	11	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Soft tissue disorders"	"M60-M79"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Osteopathies and chondropathies"	"M80-M94"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the genitourinary system"	"N00-N98"	"Renal failure"	"N17-N19"	14	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the genitourinary system"	"N00-N98"	"Other disorders of kidney and ureter"	"N25-N28"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Pregnancy with abortive outcome"	"O00-O07"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Other maternal disorders predominantly related to pregnancy"	"O20-O29"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Complications of labour and delivery"	"O60-O75"	1	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Complications predominantly related to the puerperium"	"O85-O92"	4	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Other obstetric conditions, not elsewhere classified"	"O95-O99"	14	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Respiratory and cardiovascular disorders specific to the perinatal period"	"P20-P29"	2	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Decedent's home"	"4"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Infections specific to the perinatal period"	"P35-P39"	1	Not Applicable	Not Applicable
